"Company Number","Company Name","Company Size","Registered Address","Company Reg Number","VAT No","Tel No","Email","Main Contact","Accounts Contact Name","Accounts address","Accounts Contact number","Accounts email","Notes prices agreed","Company Logo","Status"
"COMP-001","Alder & Finch Supplies Ltd","Small","14 Willow Lane, Bristol, BS3 4QJ","08124001","GB 201 450 001","0117 555 0101","hello@alderfinch.example.com","Maya Collins","Peter Shaw","PO Box 101, Bristol, BS1 9AA","0117 555 1101","accounts@alderfinch.example.com","Standard trade pricing; 30-day terms","1785356565112-e2e-logo.png","Active"
"COMP-002","Blue Lantern Logistics Ltd","Medium","82 Dock Road, Liverpool, L5 9TR","08124002","GB 201 450 002","0151 555 0102","info@bluelantern.example.com","Ethan Price","Nina Brooks","82 Dock Road, Liverpool, L5 9TR","0151 555 1102","finance@bluelantern.example.com","Pallet rate £42; annual review",,"Active"
"COMP-003","Cedar Grove Catering Ltd","Small","6 Market Walk, Leeds, LS1 6DT","08124003","GB 201 450 003","0113 555 0103","orders@cedargrove.example.com","Sofia Patel","Amir Khan","6 Market Walk, Leeds, LS1 6DT","0113 555 1103","accounts@cedargrove.example.com","Menu package from £18 per person",,"Active"
"COMP-004","Daleside Engineering Ltd","Large","145 Foundry Way, Sheffield, S9 2PL","08124004","GB 201 450 004","0114 555 0104","contact@daleside.example.com","Oliver Grant","Grace Wood","Finance Office, 145 Foundry Way, Sheffield, S9 2PL","0114 555 1104","ledger@daleside.example.com","Volume discount 8% above £25,000",,"Active"
"COMP-005","Elmstone Digital Ltd","Small","21 Pixel Court, Manchester, M1 2AB","08124005","GB 201 450 005","0161 555 0105","studio@elmstone.example.com","Chloe Evans","Daniel Reed","21 Pixel Court, Manchester, M1 2AB","0161 555 1105","billing@elmstone.example.com","Day rate agreed at £650",,"Active"
"COMP-006","Fairway Office Interiors Ltd","Medium","39 Regent Park, Nottingham, NG2 4HQ","08124006","GB 201 450 006","0115 555 0106","sales@fairwayoffice.example.com","Jacob Morris","Ella Turner","Accounts Suite, 39 Regent Park, Nottingham, NG2 4HQ","0115 555 1106","accounts@fairwayoffice.example.com","Installation included on orders over £5,000",,"Inactive"
"COMP-007","Green Kite Renewables Ltd","Large","11 Turbine Avenue, Hull, HU3 1RX","08124007","GB 201 450 007","01482 555 107","projects@greenkite.example.com","Ava Hughes","Leo Martin","11 Turbine Avenue, Hull, HU3 1RX","01482 555 207","finance@greenkite.example.com","Framework pricing valid for 12 months",,"Active"
"COMP-008","Harbour & Hill Property Ltd","Medium","73 Seaview Terrace, Brighton, BN2 5LS","08124008","GB 201 450 008","01273 555 108","office@harbourhill.example.com","Noah Bennett","Ruby Clark","73 Seaview Terrace, Brighton, BN2 5LS","01273 555 208","rentals@harbourhill.example.com","Management fee agreed at 9%",,"Active"
"COMP-009","Ivory Oak Consulting Ltd","Small","4 King Street, Cambridge, CB1 1LN","08124009","GB 201 450 009","01223 555 109","advice@ivoryoak.example.com","Isla Cooper","Henry Bell","4 King Street, Cambridge, CB1 1LN","01223 555 209","invoices@ivoryoak.example.com","Consulting rate £175 per hour",,"Active"
"COMP-010","Juniper Health Products Ltd","Medium","58 Wellness Road, Birmingham, B15 2TT","08124010","GB 201 450 010","0121 555 0110","care@juniperhealth.example.com","Freya Ward","Oscar Kelly","58 Wellness Road, Birmingham, B15 2TT","0121 555 1110","accounts@juniperhealth.example.com","Wholesale margin fixed at 22%",,"Active"
"COMP-011","Keystone Print Works Ltd","Small","19 Ink Lane, Leicester, LE2 7GS","08124011","GB 201 450 011","0116 555 0111","print@keystoneworks.example.com","George Bailey","Lily Foster","19 Ink Lane, Leicester, LE2 7GS","0116 555 1111","billing@keystoneworks.example.com","A4 colour print £0.18 per sheet",,"Inactive"
